batting_team,bowling_team,venue,toss_winner,toss_decision,overs,balls,current_score,wickets,batting_team_form,bowling_team_form,head_to_head,key_batsman_form,key_bowler_form,venue_factor,final_score
Punjab Kings,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,14,2,111,4,0.6233306744688695,0.7404184674708526,0.3861288428341423,0.8572564949187456,0.688952829793133,1.0080068185869602,161
Chennai Super Kings,Delhi Capitals,Punjab Cricket Association Stadium,Delhi Capitals,field,15,4,112,7,0.46892158082765867,0.5513543651974964,0.30846570653394884,0.5112315253187857,0.5069815544607333,0.7901072228943196,145
Royal Challengers Bangalore,Lucknow Super Giants,M. Chinnaswamy Stadium,Royal Challengers Bangalore,bat,5,4,40,3,0.42977122064877726,0.5149738745626027,0.6412461880781499,0.5642478156238921,0.5884645025628243,1.0145526605513293,163
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,Royal Challengers Bangalore,bat,20,0,183,8,0.4941369994239012,0.8655806312255485,0.408900234969671,0.636733493691735,0.40478968135409105,1.2328532202439328,183
Royal Challengers Bangalore,Kolkata Knight Riders,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,11,0,82,2,0.3026769634136175,0.7016583707002797,0.5101925941993078,0.7326050970618916,0.6695030191939275,1.0387049025394606,169
Chennai Super Kings,Rajasthan Royals,M. A. Chidambaram Stadium,Chennai Super Kings,field,20,0,167,5,0.8786354539776331,0.4450861026776666,0.5282364211283739,0.8418892657869756,0.5359346499556001,0.8780177901473133,167
Royal Challengers Bangalore,Mumbai Indians,Ekana Cricket Stadium,Mumbai Indians,bat,20,0,168,4,0.6979998503852469,0.7287570468677422,0.44342901150084924,0.6851350638989105,0.5552249693093325,1.1607207236575259,168
Punjab Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,Punjab Kings,bat,11,4,97,2,0.5503499033007165,0.8503529025798451,0.38872524200573666,0.9182005233640641,0.563935781832859,1.0953409088579344,169
Punjab Kings,Kolkata Knight Riders,Sawai Mansingh Stadium,Punjab Kings,field,18,1,193,6,0.6024770883033452,0.48360238043060066,0.321443694226297,0.8732960693454932,0.6136526282143855,1.0182334671496034,201
Punjab Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,19,2,224,1,0.5518446561485628,0.3577309264960593,0.38354339760903133,0.6102501458296752,0.6106120079363878,1.0886673757540182,231
Chennai Super Kings,Rajasthan Royals,Punjab Cricket Association Stadium,Rajasthan Royals,bat,20,0,202,0,0.8594523921868344,0.4275820922338682,0.5872810518739912,0.8957096139276075,0.4694778207397464,0.9293231779690676,202
Sunrisers Hyderabad,Gujarat Titans,Feroz Shah Kotla,Sunrisers Hyderabad,field,8,4,77,3,0.5312245383855971,0.42724494538339763,0.7220775386694185,0.9126797678815759,0.4347557961550414,0.7623799800326486,164
Delhi Capitals,Chennai Super Kings,Ekana Cricket Stadium,Chennai Super Kings,bat,8,4,55,8,0.8548935599779184,0.6072018717847228,0.30469533308377733,0.5610841712873083,0.7145953379081191,0.9424158203819133,113
Gujarat Titans,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,field,18,2,122,8,0.6873821181729829,0.7402750018160584,0.4782756566676009,0.8430731568704875,0.9215275006398487,1.0276051429049764,130
Sunrisers Hyderabad,Gujarat Titans,Narendra Modi Stadium,Gujarat Titans,bat,11,3,78,7,0.35051002499575035,0.7584157500361107,0.5994065916937407,0.8769687351248321,0.6170095823911403,1.1630908736825891,127
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,8,3,63,3,0.725688243094097,0.6246978470961841,0.2912790256984103,0.9073244905215332,0.5875918934388771,1.1280887800989685,150
Delhi Capitals,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,13,3,98,1,0.7738542862831002,0.6287616607384774,0.6261239425932479,0.8991345934926347,0.6986313498502906,1.1624093725145912,162
Lucknow Super Giants,Gujarat Titans,Eden Gardens,Lucknow Super Giants,bat,10,4,86,1,0.5663934521866347,0.577208350556383,0.41457912582025985,0.6480772449770382,0.8455403317609114,0.8900009173822188,191
Chennai Super Kings,Punjab Kings,Feroz Shah Kotla,Chennai Super Kings,bat,7,3,52,10,0.3027717380603298,0.45005612225078506,0.7211606359086702,0.764389150633353,0.9430681790167024,0.9775458802690007,130
Lucknow Super Giants,Delhi Capitals,Wankhede Stadium,Lucknow Super Giants,field,5,4,48,1,0.3970860577939409,0.6618212363921165,0.49267561503182217,0.6727761237514351,0.724231349964986,0.9263136030373862,192
Punjab Kings,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Punjab Kings,field,18,4,201,4,0.797525431840087,0.569277064261235,0.41482422303695565,0.9480475027485995,0.7411726466333568,0.7264879229461985,213
Lucknow Super Giants,Kolkata Knight Riders,Sawai Mansingh Stadium,Kolkata Knight Riders,field,9,2,73,5,0.7317787079735021,0.36935971488029357,0.34018712922445227,0.8617292264824887,0.5735164741141376,0.8253169280665142,166
Lucknow Super Giants,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,field,5,1,32,6,0.7642915392621675,0.5564334757173992,0.7496252379896762,0.7073261902091781,0.40375158851770704,0.7076187887188133,133
Rajasthan Royals,Lucknow Super Giants,M. Chinnaswamy Stadium,Rajasthan Royals,field,17,1,201,1,0.3742862341748743,0.825112354075443,0.6289724216114289,0.4453124446608461,0.4131205204302151,0.7066906971352844,231
Royal Challengers Bangalore,Mumbai Indians,Narendra Modi Stadium,Mumbai Indians,bat,12,5,86,10,0.43000373134836617,0.5019223370711795,0.48547527908802973,0.7536015997201009,0.8529894743664916,0.9165530865975351,139
Mumbai Indians,Kolkata Knight Riders,Punjab Cricket Association Stadium,Kolkata Knight Riders,bat,9,5,77,4,0.34459412434849956,0.33365443820084173,0.7557126416632538,0.6176568858315002,0.9015612303570734,1.052234955730561,176
Gujarat Titans,Mumbai Indians,M. Chinnaswamy Stadium,Gujarat Titans,bat,12,2,81,10,0.805627300586431,0.7507560719577449,0.7565952115541945,0.4353551255061247,0.744133560613653,1.0485419762823422,111
Lucknow Super Giants,Chennai Super Kings,M. Chinnaswamy Stadium,Chennai Super Kings,field,15,1,150,0,0.31064594755787783,0.5134641002834273,0.6883380688711854,0.9186491859922935,0.8088494016420491,0.8519582109266333,203
Gujarat Titans,Kolkata Knight Riders,Ekana Cricket Stadium,Kolkata Knight Riders,bat,12,2,116,1,0.8957211024141152,0.741860418963067,0.3857231133132624,0.41470059008963484,0.7177723182117284,1.2440044165343904,201
Mumbai Indians,Kolkata Knight Riders,M. A. Chidambaram Stadium,Kolkata Knight Riders,bat,5,0,30,3,0.5986463152991603,0.35917193827606075,0.6910447145043841,0.8262841446248834,0.8113286612417777,0.8520580596887638,146
Rajasthan Royals,Delhi Capitals,Feroz Shah Kotla,Rajasthan Royals,field,6,1,41,2,0.37956558717809147,0.6509751952264133,0.3520452099015362,0.5529755236186356,0.7325219290818392,1.2203945595517476,188
Chennai Super Kings,Lucknow Super Giants,Rajiv Gandhi International Stadium,Chennai Super Kings,field,13,5,115,0,0.3148223679138209,0.7492794444950324,0.7248626925786525,0.6042194990081472,0.5291837223054827,1.2631628223628397,179
Delhi Capitals,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,bat,9,2,87,2,0.6936116912963168,0.418547980361213,0.6352378610488548,0.4273035182610317,0.8744901347541243,0.7341569858821301,180
Lucknow Super Giants,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,12,2,101,1,0.5923543329227017,0.47786696898019376,0.625182283115796,0.7169053439509885,0.8059531290798647,1.0887253309019975,175
Kolkata Knight Riders,Gujarat Titans,Ekana Cricket Stadium,Gujarat Titans,field,14,3,119,0,0.36341080982220086,0.7529711843483231,0.4713697712634128,0.9274434281732252,0.4756104934823146,0.8979004844031593,175
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Mumbai Indians,field,15,3,120,5,0.31733025238037665,0.6689632123573934,0.5722838303761189,0.7794551117670978,0.6643964562578795,0.8859341508881733,160
Mumbai Indians,Delhi Capitals,Narendra Modi Stadium,Delhi Capitals,field,6,0,32,6,0.3528943310318431,0.748496945799248,0.7532883627577427,0.4081998589786048,0.5843302776851365,1.069943705256206,93
Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,field,7,0,51,10,0.8228751248773931,0.4065687037577643,0.285393314521914,0.7115601876805301,0.5298726422771439,0.9172044884695607,114
Mumbai Indians,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,10,5,95,3,0.4134980105448569,0.8962041462943442,0.5778426483459528,0.48373514552888625,0.45219877033170086,0.8830928913720842,152
Rajasthan Royals,Gujarat Titans,Wankhede Stadium,Rajasthan Royals,field,19,5,135,9,0.8150452231924148,0.8491921648817566,0.37404273068389,0.6681762969971945,0.7280857352249199,1.1434863039632324,135
Sunrisers Hyderabad,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,field,17,2,139,6,0.8400509967752818,0.71415959083031,0.28279262814372763,0.773725013775602,0.7570781545253015,0.776120247985473,155
Kolkata Knight Riders,Chennai Super Kings,Punjab Cricket Association Stadium,Chennai Super Kings,bat,13,3,112,1,0.5817989076428607,0.8828551788467347,0.7365706639511636,0.9183109158701589,0.520403068542548,0.7551558060736105,172
Delhi Capitals,Gujarat Titans,Sawai Mansingh Stadium,Gujarat Titans,bat,17,1,135,6,0.8134164103630483,0.7589304167020252,0.37513972065622947,0.788862506857424,0.5391445201068763,1.1651504550496976,151
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,13,3,134,3,0.8820783652819311,0.827335756583248,0.23797985338916536,0.8560310085348605,0.7091681147916556,1.23273603996032,176
Chennai Super Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,bat,16,5,155,9,0.629737339045809,0.3705323827929507,0.6196126732825586,0.7010296775017621,0.7869240660271255,0.864762400457158,175
Lucknow Super Giants,Rajasthan Royals,M. Chinnaswamy Stadium,Lucknow Super Giants,field,20,0,173,4,0.8235965207161826,0.30588686331010145,0.4068789903023513,0.6992460450744153,0.6165512204693485,1.0510710854587646,173
Mumbai Indians,Gujarat Titans,Eden Gardens,Mumbai Indians,field,8,0,76,3,0.737581354742203,0.7416879883454868,0.6741339204124626,0.7894162088525423,0.5979321575978179,1.1003205800624944,163
Chennai Super Kings,Rajasthan Royals,Punjab Cricket Association Stadium,Rajasthan Royals,bat,18,3,153,3,0.69152068676869,0.8602676560938514,0.6701888334790616,0.7103840793562188,0.8226750663149334,1.0584897891529734,165
Chennai Super Kings,Gujarat Titans,Eden Gardens,Gujarat Titans,field,6,0,49,2,0.8148097776981333,0.37630898492572484,0.5170187458433181,0.787089098668784,0.4103248874917461,0.839497042492855,209
Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,bat,19,2,218,4,0.4527657541768105,0.6983958821123499,0.2261289480943299,0.4997916845535576,0.8763942994174021,1.0558536815183555,223
Delhi Capitals,Chennai Super Kings,Rajiv Gandhi International Stadium,Delhi Capitals,field,9,0,67,4,0.3448238507324823,0.4252397369134444,0.2901182782817859,0.5877837001339115,0.7405339782942024,0.7830654488080797,140
Lucknow Super Giants,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,16,1,146,8,0.7539627893807137,0.32373637784197024,0.4714025912690996,0.9355067081820287,0.8234908993200044,0.8643555641146141,175
Delhi Capitals,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,field,10,5,73,10,0.5920160114714006,0.6504143445654562,0.7547809408541006,0.5161800508605618,0.8976184003115355,1.2952453309197824,123
Punjab Kings,Mumbai Indians,Punjab Cricket Association Stadium,Mumbai Indians,bat,14,5,120,6,0.3353765825461671,0.6209920390645276,0.40191727465307064,0.6080523956854029,0.6923375574704941,0.7244819374284897,153
Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium,Mumbai Indians,bat,11,1,86,8,0.8044132683507312,0.3473800322413295,0.4855319460839709,0.8116804684933513,0.5468600748402384,0.9027190365577368,141
Mumbai Indians,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,6,3,42,4,0.5931181315870926,0.5971338211588544,0.6708363225080738,0.8217899095428791,0.4659297740770969,1.0929871560600215,155
Mumbai Indians,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Mumbai Indians,field,10,0,80,5,0.6083165048430728,0.5696431770995072,0.49144939765301604,0.438431349185676,0.7458591440942346,1.0074512630672177,173
Rajasthan Royals,Royal Challengers Bangalore,M. Chinnaswamy Stadium,Rajasthan Royals,field,11,1,98,2,0.7538488757338435,0.462579224706819,0.7346315590591161,0.8807166447409553,0.49503455329629736,1.0803265472008043,184
Royal Challengers Bangalore,Mumbai Indians,Eden Gardens,Mumbai Indians,field,5,0,36,6,0.5225190021498152,0.3113289664249285,0.776456179995513,0.6155867536411329,0.41467784539277736,0.8857200212370432,109
Gujarat Titans,Delhi Capitals,Eden Gardens,Delhi Capitals,field,11,3,76,7,0.7415447017987593,0.7385515243589353,0.5881615145354666,0.43778628508295087,0.6352364962594157,1.1536571127652102,134
Gujarat Titans,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,field,6,2,46,7,0.5178559811689117,0.5805986161911799,0.4346639365177371,0.820614411004118,0.5001517785014062,1.1441491727018105,146
Punjab Kings,Gujarat Titans,Rajiv Gandhi International Stadium,Gujarat Titans,field,5,0,36,0,0.6432110270472924,0.5477355964694124,0.6597158897408184,0.44814969733770377,0.6528685306123485,1.1510989022837004,204
Mumbai Indians,Royal Challengers Bangalore,Sawai Mansingh Stadium,Mumbai Indians,field,17,2,163,10,0.45112334348624455,0.3891086539501263,0.608205272413511,0.5838353682630648,0.6876323820474622,0.7522480984017216,178
Sunrisers Hyderabad,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,16,2,151,8,0.30700151041310375,0.4760548938070214,0.7572674880888717,0.5231577264058067,0.6624548549129483,1.1940553972450303,167
Chennai Super Kings,Delhi Capitals,Punjab Cricket Association Stadium,Delhi Capitals,field,18,3,135,6,0.4603670824606666,0.8196403315331029,0.6123669684323465,0.44423655534362405,0.5548320278016188,1.0290597315152177,144
Sunrisers Hyderabad,Mumbai Indians,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,field,17,2,193,0,0.4829683471587112,0.4806491445161569,0.6217328148629524,0.8542021665955788,0.8459733909275704,1.1068749722783762,221
Mumbai Indians,Gujarat Titans,M. A. Chidambaram Stadium,Mumbai Indians,bat,16,4,109,9,0.6344280054609591,0.7514420239945894,0.7047139894582339,0.6513121868055269,0.4402049100703977,1.1009641334297897,130
Gujarat Titans,Kolkata Knight Riders,Punjab Cricket Association Stadium,Kolkata Knight Riders,bat,18,5,190,5,0.8438891641384403,0.7151755106789102,0.7803674717705404,0.9455817337008027,0.5955507493474975,0.8387403677193057,199
Rajasthan Royals,Kolkata Knight Riders,M. Chinnaswamy Stadium,Kolkata Knight Riders,field,5,0,38,2,0.6144423725550312,0.33046761753281656,0.4608467013343291,0.49983114611314516,0.8163389356459223,1.0014850830045037,184
Delhi Capitals,Kolkata Knight Riders,Rajiv Gandhi International Stadium,Delhi Capitals,field,8,1,72,5,0.7385519510544527,0.8919154663105924,0.26251352453688753,0.4115359801995574,0.6297933717352664,0.7068289680252836,160
Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Delhi Capitals,field,12,5,104,0,0.7775261710214225,0.3858039868828219,0.3456122942549106,0.5944940120927888,0.402764267664229,1.1280315009572537,180
Chennai Super Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunrisers Hyderabad,bat,18,3,208,0,0.4795957364964982,0.8718442337311496,0.48979246853077735,0.6835386717138721,0.8397951111312276,1.2723840976093248,225
Sunrisers Hyderabad,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,bat,15,4,118,8,0.5392236381213797,0.731923498106432,0.21117738813915624,0.5220210574142622,0.7563074762886027,0.9024068092794905,135
Mumbai Indians,Punjab Kings,M. A. Chidambaram Stadium,Punjab Kings,bat,16,0,116,10,0.30583372945495335,0.6004725936440221,0.6500776536837369,0.7963527058565589,0.4698336609621209,1.1994668617578088,144
Royal Challengers Bangalore,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunrisers Hyderabad,bat,10,5,68,9,0.3771114782512629,0.734430506733633,0.7649039478485151,0.5795429796320011,0.7577499073983149,1.1345907182114574,114
Punjab Kings,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Punjab Kings,field,6,3,49,1,0.4704476191530688,0.5724643987838225,0.7622061616264642,0.5965680542530407,0.7500028473753539,0.873309182859062,192
Kolkata Knight Riders,Sunrisers Hyderabad,Punjab Cricket Association Stadium,Sunrisers Hyderabad,bat,17,1,192,3,0.3473549844696981,0.8454190907157129,0.7680978440203465,0.5363763759512902,0.5552437944626396,0.797776017838402,212
Kolkata Knight Riders,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,field,11,3,80,9,0.8233810431814501,0.66824809226051,0.49044992389805303,0.41144744842450404,0.7881613774967484,0.8210201286618836,144
Gujarat Titans,Delhi Capitals,M. Chinnaswamy Stadium,Gujarat Titans,field,16,2,192,4,0.33579094766212864,0.6701506214816859,0.5832441938292663,0.5775480995828215,0.8063704922808415,0.7356421167304744,223
Lucknow Super Giants,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,field,19,5,195,1,0.7993844343398644,0.3225212226722492,0.20744365964596653,0.6401154022807495,0.8509673554041625,1.2239948296508798,195
Rajasthan Royals,Gujarat Titans,Eden Gardens,Rajasthan Royals,bat,12,1,89,0,0.4796861794843099,0.7201245061123487,0.22244620909305804,0.6673989390756845,0.7267474332753299,1.2399469550616509,179
Kolkata Knight Riders,Lucknow Super Giants,M. A. Chidambaram Stadium,Kolkata Knight Riders,field,7,3,63,3,0.6754432078761596,0.4696491623439727,0.5881707282901802,0.43081187475129795,0.748539285251927,1.0955666995743194,139
Gujarat Titans,Rajasthan Royals,Wankhede Stadium,Gujarat Titans,field,11,1,65,8,0.45044148308696913,0.5812591256859223,0.3700812607626518,0.9295659884004738,0.5504083920316736,0.9338563819477914,130
Rajasthan Royals,Gujarat Titans,Feroz Shah Kotla,Rajasthan Royals,bat,13,1,96,7,0.3071597242884331,0.3223504103432826,0.22595554204032028,0.7441505997928507,0.6279188790070251,1.0987798465291925,129
Chennai Super Kings,Lucknow Super Giants,M. A. Chidambaram Stadium,Lucknow Super Giants,field,16,1,120,7,0.38061394062108533,0.6880315246855362,0.37132338977552726,0.8190206787722079,0.538004061925174,1.0259505291623918,142
Kolkata Knight Riders,Delhi Capitals,M. Chinnaswamy Stadium,Delhi Capitals,bat,10,0,64,7,0.8987822294803312,0.8875031051411402,0.298276368725793,0.7046754825918415,0.6624858027207722,1.2608248217117026,137
Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,bat,16,1,168,5,0.4972019438508338,0.7553782906091213,0.6240395326508168,0.48113547056621603,0.6533067080233315,1.2019215804759493,192
Lucknow Super Giants,Sunrisers Hyderabad,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,11,0,82,3,0.3796580815564643,0.7992748827357778,0.2912581161980143,0.5227122085609812,0.4258688194270843,0.9471556661970914,143
Sunrisers Hyderabad,Royal Challengers Bangalore,M. A. Chidambaram Stadium,Sunrisers Hyderabad,field,13,4,95,7,0.8800037959873483,0.5331043515161834,0.2277446715333242,0.916212398613018,0.6327223058750996,0.9760524066578813,136
Punjab Kings,Mumbai Indians,Sawai Mansingh Stadium,Mumbai Indians,field,11,0,91,7,0.32144351264962984,0.3561718051576117,0.4399459879444094,0.7963468737381777,0.6247727096404401,1.1189915002334985,151
Royal Challengers Bangalore,Sunrisers Hyderabad,Feroz Shah Kotla,Royal Challengers Bangalore,field,10,3,80,9,0.6139133992884233,0.7054787294725341,0.512381764612323,0.7535992980600235,0.615167580497803,0.7330543828732022,126
Sunrisers Hyderabad,Mumbai Indians,M. Chinnaswamy Stadium,Mumbai Indians,bat,5,0,30,10,0.5693297176934742,0.8435117534226599,0.7188390493257495,0.4863564786812445,0.7243757323743281,0.8069724491156758,117
Delhi Capitals,Punjab Kings,Rajiv Gandhi International Stadium,Punjab Kings,bat,15,5,134,3,0.5461837510176231,0.886305200175086,0.45750721291939267,0.7659557186343093,0.9000219875432386,1.2699512275714055,159
Royal Challengers Bangalore,Punjab Kings,Narendra Modi Stadium,Punjab Kings,field,20,0,154,9,0.48301806181191265,0.8843597010421429,0.49253889987489946,0.6952675601929507,0.6326740367434092,1.0435777380110998,154
Kolkata Knight Riders,Rajasthan Royals,Ekana Cricket Stadium,Kolkata Knight Riders,field,11,5,82,9,0.7933599397041586,0.523968543610992,0.47694326757702643,0.5499313382389631,0.6865769557627439,0.89173882963818,120
Royal Challengers Bangalore,Gujarat Titans,Eden Gardens,Gujarat Titans,field,6,1,44,0,0.43980651313562846,0.6280015463268789,0.24841844359045903,0.615447805174911,0.8798116040867003,0.7102834267206848,159
Chennai Super Kings,Gujarat Titans,Punjab Cricket Association Stadium,Chennai Super Kings,field,9,2,91,4,0.4891235074441488,0.32260212152727197,0.4167334645930933,0.6492366239834372,0.9419730328021285,1.1006017539579094,197
Mumbai Indians,Rajasthan Royals,Ekana Cricket Stadium,Rajasthan Royals,bat,20,0,173,5,0.6610162018890433,0.5649899034657393,0.21515831144105602,0.7796196698154849,0.5828083593884142,0.8095103076251571,173
Gujarat Titans,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,bat,13,4,133,4,0.7489207553210437,0.5989843925272926,0.2805532192817012,0.6620088394090968,0.7865470984029808,0.9052949009387802,195
Punjab Kings,Rajasthan Royals,Punjab Cricket Association Stadium,Rajasthan Royals,field,16,5,131,6,0.45794863574345956,0.8759297527074674,0.7139909418654371,0.4298519241837384,0.7006243845824562,1.077192460564476,148
Delhi Capitals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,field,11,3,77,6,0.3941475652566503,0.33818830911403996,0.44483757776991373,0.7026236591745445,0.6124168036493023,0.7777271942402628,111
Delhi Capitals,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,bat,6,1,48,3,0.4216431244491765,0.7459793035749411,0.7197107175810189,0.8257769910314104,0.7881911740381331,0.8967968339991284,180
Royal Challengers Bangalore,Chennai Super Kings,Narendra Modi Stadium,Royal Challengers Bangalore,field,14,1,103,7,0.5275754160361507,0.8464449944604342,0.21613275813251076,0.4613385357696555,0.6781118417480743,1.2723125017125583,133
Delhi Capitals,Sunrisers Hyderabad,Narendra Modi Stadium,Delhi Capitals,bat,6,2,42,3,0.5319966333875361,0.6206797861443518,0.6286812628118186,0.46672150458663947,0.788349310453287,1.2727890755496594,141
Chennai Super Kings,Sunrisers Hyderabad,Eden Gardens,Chennai Super Kings,bat,19,5,168,0,0.7541304143255834,0.8872699328429492,0.7147248897516232,0.7049422277082366,0.5908400873066638,0.8177301961432317,168
Royal Challengers Bangalore,Gujarat Titans,Feroz Shah Kotla,Royal Challengers Bangalore,field,15,3,145,2,0.6888963152534463,0.8766177273712801,0.3648983718139779,0.7430317968085765,0.530085533227415,0.7085073570889118,183
Lucknow Super Giants,Gujarat Titans,Rajiv Gandhi International Stadium,Gujarat Titans,bat,18,2,197,3,0.6758012740588879,0.657582114529593,0.6448499931224768,0.9483320551558218,0.7332808272230108,1.1566104128246448,210
Gujarat Titans,Delhi Capitals,Punjab Cricket Association Stadium,Delhi Capitals,field,9,1,84,3,0.6773994045504184,0.8342750571359445,0.621506309989382,0.46650354119955695,0.6430538900386924,0.7390695169197203,155
Sunrisers Hyderabad,Chennai Super Kings,M. Chinnaswamy Stadium,Sunrisers Hyderabad,field,11,2,101,1,0.3578630097459034,0.7034187442249281,0.7080956879911846,0.7972948278165785,0.7654453929521157,0.9040977219252802,175
Delhi Capitals,Lucknow Super Giants,Wankhede Stadium,Delhi Capitals,field,5,0,36,7,0.6781183945213118,0.7958580391612711,0.4204338019288694,0.8395477139805778,0.6399473586791208,0.9834621613684296,104
Chennai Super Kings,Kolkata Knight Riders,Narendra Modi Stadium,Kolkata Knight Riders,bat,6,0,42,3,0.5054608448629494,0.6415145094897237,0.7540822345602518,0.8911514156153652,0.7718998496968855,0.958771871597228,139
